"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2022;"97311";"2100122";"chlorantraniliprole";"500008-45-7";"0.105";"Env A";"";"Non"
2022;"97318";"2000044";"fluazifop-p-butyl";"79241-46-6";"0.125";"CMR";"";"Non"
2022;"97318";"2080105";"glyphosate";"1071-83-6";"1.8";"Env A";"";"Non"
2022;"97356";"2060050";"metrafenone";"220899-03-6";"3";"Env A";"";"Non"
