"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2022;"97600";"2150790";"phosphate ferrique";"10045-86-0";"3.9";"Autre";"";"Non"
2022;"97600";"7500716";"cuivre du sulfate de cuivre";"8011-63-0";"60";"Env A";"Substitution";"Non"
2022;"97660";"2080105";"glyphosate";"1071-83-6";"3.6";"Env A";"";"Non"
2022;"97660";"2110104";"clopyralid";"1702-17-6";"0.72";"Autre";"";"Non"
2022;"97660";"2110104";"florasulame";"145701-23-1";"0.0225";"Env A";"";"Non"
2022;"97660";"2110104";"fluroxypyr-meptyl";"81406-37-3";"1.296";"Env A";"";"Non"
2022;"97680";"9800219";"ethephon";"16672-87-0";"7.2";"Santé A";"";"Non"
